TaxonLabel	01.06.08.1	01.06.2008	02.06.2008	02.07.2008	02.08.07.1	02.08.07.2	02.08.2006.1b	02.08.2006.2b	02.09.09.1	02.09.2009.1	02.09.2009.2	03.07.13.1	03.07.13.2	03.09.08.2b	03.09.2008.2b	04.08.2008.2b	04.08.2008.4b	05.05.10.1	05.05.10.2	05.06.13.1	05.06.13.2	05.07.10.1	05.07.2011.1	05.07.2011.2	05.09.06.1	05.09.06.2	05.09.07.1	05.09.07.2	06.07.07.1	06.07.07.2	07.06.12.1	07.06.12.2	07.06.2012.1	07.06.2012.2	07.10.08.6b	07.10.2008.5b	07.10.2008.6b	08.07.2009.1	08.07.2009.2	08.08.2009.2b	08.08.2009.p2	09.05.07.1	09.05.07.2	09.08.11.1	09.08.11.2	10.08.10.1	10.08.10.2	10.10.06.1	10.10.07.1	12.06.11.1	12.07.10.1	12.07.10.2	12.07.11.1	12.07.2006.1b	12.07.2006.2b	12.07.2009.1b	12.07.2009.2b	12.09.11.1	12.09.11.2	12.09.2006.1a	12.09.2006.2b	12.10.11.1	12.10.11.2	13.06.2006.1c	13.06.2006.2c	14.08.2012.1	14.08.2012.2	15.05.11.1	15.05.2011.1	15.07.2008	15.07.2008.2	15.08.2006.1a	15.08.2006.2a	15.10.09.p2	15.10.2009.1	15.10.2009.p2	16.06.10.1	16.06.10.2	16.08.13.1	16.08.13.2	16.09.09.1	16.09.09.2	16.09.10.1	16.09.10.2	16.09.2009.1	16.09.2009.2	16.10.2006.1b	16.10.2006.2b	17.09.13.1	17.09.13.2	17.09.2008.1d	17.09.2008.3b	17.09.2012.1	17.09.2012.2	17.10.2012.1	17.10.2012.2	18.08.2008.2d	18.08.2008.4d	19.06.2009.1	19.06.2009.2	19.07.11.1	19.07.11.2	19.09.07.1	19.09.07.2	19.10.10.1	19.10.10.2	20.05.2006.2b	20.05.2009.1	20.05.2009.2	20.07.2012.1	20.07.2012.2	21.06.2011.1	21.06.2011.2	22.05.08.1	22.08.06.1	22.08.06.2	22.08.07.1	22.08.07.2	22.08.10.1	22.08.2009.1	22.08.2009.p1	23.08.11.1	23.08.11.2	23.09.2009.1	23.09.2009.2	23.10.13.1	23.10.13.2	24.04.12.1	25.06.2008.a	25.06.2008.b	25.07.06.1	25.07.2009.b	25.07.2009.p2	26.07.10.1	26.09.07.1	26.09.07.2	26.09.2006.1b	26.09.2006.2a	26.11.12.1	27.06.06.1	27.06.06.2	27.08.13.1	27.08.13.2	27.10.08.1	27.10.08.2	28.07.2008.3d	29.07.2009.2d	29.08.07.2	29.08.08.1	29.08.08.2
Taxon1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	37	5	0	0	3	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	271	733	0	0	0	0	0	21	5	0	0	0	0	0	0	0	1	4	1	0	0	566	34	0	1	0	1	0	0	50	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	450	664	51	31	0	0	0	0	0	0	0	74	100	0	0	0	0	0	0	0	9	2	0	0	1	0	0
Taxon2	31	176	63	0	6	6	26	93	425	0	47	114	316	265	0	24	3	19	64	85	57	19	184	10	10	43	74	28	24	10	73	61	0	0	107	206	0	30	55	10	378	145	418	1	0	43	103	109	35	54	32	20	39	11	0	3	85	31	10	78	5	47	39	191	117	3	86	215	11	25	162	11	51	307	182	0	14	23	6	32	435	43	59	98	0	1	2	217	14	10	221	78	0	25	102	6	0	13	323	41	26	34	4	7	81	37	0	155	255	52	71	50	28	204	154	327	12	3	10	14	88	55	18	35	85	28	30	60	47	97	15	1	13	10	35	14	68	0	0	77	55	10	10	77	38	126	6	95	66	80
Taxon3	117	494	173	3	14	11	39	195	77	0	9	65	178	36	0	9	0	190	410	323	285	45	632	31	286	603	259	147	60	59	305	286	0	0	30	67	0	245	343	2	236	1776	3858	2	0	9	11	2166	801	166	8	13	82	61	6	5	292	34	25	261	18	161	131	866	501	0	17	744	29	20	124	2	21	830	926	1	125	229	9	26	150	69	9	26	0	0	13	715	70	49	145	47	0	5	446	46	0	29	756	391	73	164	117	69	151	74	0	490	372	10	27	230	204	376	145	283	36	8	1	0	53	14	0	50	90	215	200	311	145	245	3	0	11	4	394	282	126	2	0	317	514	29	26	402	220	78	2	564	355	305
Taxon4	6	28	2	2	36	18	318	1317	30	0	17	78	267	200	0	36	9	1	0	15	35	44	410	24	69	202	86	66	62	37	7	6	0	0	96	226	1	20	309	5	308	3	4	3	4	6	7	822	83	23	43	45	9	24	2	8	433	37	30	93	11	21	9	31	23	3	63	2	2	41	247	10	34	35	45	0	4	2	70	61	11	16	5	10	0	0	0	119	6	8	99	37	1	46	108	12	2	135	7	43	52	74	28	9	54	20	0	9	526	267	242	39	10	7	210	365	52	19	0	10	84	130	38	2	12	13	9	0	19	13	20	6	51	6	81	43	159	2	0	19	22	49	46	38	25	124	3	310	166	158
Taxon5	0	0	0	0	234	131	104	430	1495	0	280	0	1	182	0	55	4	0	0	0	0	4	1	0	26	58	79	35	6	2	1	2	0	0	142	160	0	0	0	6	176	0	0	29	11	40	82	0	8	0	76	78	0	2	1	0	4	62	44	24	1	4	5	0	0	15	302	0	0	12	55	14	35	6	1	0	0	0	49	130	813	347	41	36	1	1	0	0	3	13	233	101	1	39	0	0	2	189	1	0	31	28	4	5	0	0	0	0	2	172	69	0	0	0	224	437	22	22	29	27	640	151	91	44	71	0	0	0	3	1	12	0	0	63	10	10	6	0	0	2	0	13	13	0	0	170	9	304	113	75
Taxon6	187	725	262	1	7	18	0	9	107	0	17	24	45	8	0	4	0	85	202	171	158	26	159	8	25	33	132	112	61	36	265	273	0	0	4	15	0	120	157	0	72	64	148	3	1	4	15	98	274	139	0	8	130	25	0	2	165	15	16	25	2	59	66	982	527	0	4	128	3	11	69	0	0	801	848	0	100	164	3	38	411	118	2	5	0	0	2	116	35	45	31	12	0	0	222	9	0	5	625	240	17	46	35	24	37	21	0	266	138	0	3	250	257	468	5	8	24	7	1	0	57	5	6	105	139	90	121	118	81	271	1	0	6	4	136	111	8	0	0	99	73	12	10	113	77	67	2	26	19	14
Taxon7	184	702	210	4	173	141	48	223	1574	0	288	144	266	547	1	88	5	41	60	365	425	182	1012	60	374	841	498	299	157	93	90	71	0	1	229	418	2	865	264	6	744	30	94	17	13	206	247	1198	235	184	148	230	146	128	6	10	440	155	162	992	99	258	226	2182	1342	8	284	59	4	85	550	19	114	2036	2451	1	183	267	60	283	2922	780	217	324	1	2	16	1202	44	44	1033	412	2	54	1239	78	0	148	578	1767	307	880	82	52	166	68	0	303	475	165	284	447	445	328	634	1182	105	49	45	42	690	326	131	368	682	163	226	134	291	786	24	4	43	165	270	180	223	0	0	384	319	76	103	527	268	501	16	1205	660	531
Taxon8	0	9	1	0	165	145	204	937	4010	0	887	7	11	730	0	41	0	1	2	15	19	1	101	7	302	566	493	239	12	4	135	101	0	1	455	516	1	22	19	1	130	0	1	61	21	85	99	163	166	5	2	8	4	19	3	0	23	116	101	551	31	437	351	33	13	30	1697	0	0	20	76	27	104	3138	2362	2	3	5	13	381	7642	2828	379	499	5	7	1	174	68	117	1754	660	3	96	2401	171	3	135	28	40	107	313	61	34	26	14	0	24	34	195	468	50	58	3	371	655	141	83	87	41	829	246	126	1330	1852	230	267	6	5	28	36	0	1	7	203	155	82	0	1	11	5	63	71	442	206	131	8	919	547	425
Taxon9	8	25	5	0	3	1	7	21	79	0	15	1	1	44	0	8	0	5	13	3	2	1	19	2	11	18	17	14	1	0	41	21	0	0	34	62	1	10	3	0	3	0	1	1	0	1	4	43	34	6	0	1	2	6	2	0	7	3	2	19	0	14	19	26	16	0	10	2	0	14	61	0	1	892	784	0	2	0	1	5	399	111	7	11	0	0	1	100	1	4	181	86	0	3	229	20	0	15	52	19	6	23	1	3	5	3	0	20	4	4	4	32	33	17	6	9	2	1	2	1	23	2	0	91	144	23	16	1	15	85	0	1	0	0	10	9	9	0	0	10	6	0	0	253	102	45	1	22	12	14
Taxon10	0	0	0	0	7	3	6	19	535	0	79	0	1	217	1	1	0	0	0	0	0	0	0	0	39	61	266	151	0	0	2	0	0	0	140	187	0	0	0	0	2	0	0	10	3	15	29	0	37	0	0	0	0	0	0	0	0	8	5	94	6	0	1	0	0	30	448	0	0	0	1	10	32	17	3	0	0	0	39	105	387	112	13	40	0	0	0	1	4	16	199	99	1	58	31	1	0	20	0	0	0	1	15	16	0	0	0	1	0	54	21	0	0	0	140	315	19	8	47	9	40	190	156	52	67	1	2	0	0	0	1	0	0	0	49	35	14	0	0	0	0	22	17	1	0	5	0	194	89	60
Taxon11	0	0	0	0	122	111	194	736	206	0	54	10	45	396	0	147	43	0	0	0	2	6	43	1	21	41	123	92	170	38	3	0	0	0	161	260	1	1	66	3	331	0	0	29	14	23	38	381	31	0	271	103	0	1	1	0	142	62	60	50	3	17	9	1	0	42	312	0	0	29	268	11	66	11	13	0	1	1	125	73	104	54	299	536	0	0	2	55	19	35	185	81	2	170	50	3	7	113	0	7	29	53	17	11	8	5	0	0	60	667	202	0	0	1	354	660	48	15	27	22	100	698	318	16	19	12	16	0	1	2	7	6	70	26	34	17	51	0	0	0	0	59	43	3	3	529	10	213	116	113
Taxon12	0	0	0	0	94	105	15	57	219	0	35	0	0	35	0	43	5	0	0	0	0	3	1	0	17	55	76	35	8	3	2	1	0	0	38	69	1	0	0	0	77	0	0	25	12	49	69	29	12	0	219	61	0	2	0	0	1	44	38	9	0	16	15	0	0	7	121	0	0	2	19	8	30	44	20	0	0	0	8	43	634	288	36	42	1	1	0	1	7	9	61	15	0	9	8	0	3	262	0	0	14	14	16	14	1	0	0	0	0	213	87	0	0	0	75	205	329	144	6	8	188	90	41	32	86	2	7	0	0	0	5	0	1	70	17	11	5	0	0	0	1	1	7	2	0	113	3	91	49	31
Taxon13	0	0	0	0	82	67	119	478	1132	0	226	0	0	242	0	18	3	0	0	0	0	2	4	0	23	52	72	41	18	3	0	0	0	0	114	183	2	1	1	2	73	0	0	8	3	11	13	6	5	0	25	8	1	0	0	1	1	10	7	15	0	3	2	0	0	10	160	1	1	3	12	4	5	8	9	0	1	0	9	16	530	249	21	33	0	0	0	3	1	4	136	69	0	13	0	0	0	35	1	0	9	17	8	4	0	0	0	0	6	82	46	0	0	0	111	184	41	24	18	11	76	31	16	13	36	0	0	0	0	0	2	0	1	17	9	2	5	0	0	0	0	6	5	0	0	269	6	328	140	102
Taxon14	0	0	0	0	63	32	34	128	473	0	69	11	14	84	0	17	0	0	0	0	0	51	14	0	28	84	69	33	43	30	26	23	0	0	52	72	0	0	208	1	219	0	0	2	1	23	46	13	35	0	64	72	0	14	1	6	235	5	2	21	2	15	8	2	1	4	94	0	0	49	290	1	4	52	14	0	17	20	2	24	486	126	5	3	0	0	0	0	4	9	97	56	0	7	9	1	0	23	1	2	64	138	5	3	1	0	0	0	344	4	9	0	0	0	20	38	14	8	22	8	236	18	10	48	113	4	7	0	14	45	13	1	15	49	25	23	6	0	0	1	2	9	8	4	2	315	10	78	44	37
Taxon15	7	49	10	1	4	1	4	10	35	0	14	17	31	4	0	7	0	21	25	16	21	3	56	1	12	28	37	26	4	3	21	14	0	0	5	20	0	16	129	2	65	9	55	2	0	3	2	169	26	19	3	1	15	15	1	2	86	9	11	18	1	19	11	115	48	0	6	9	1	25	120	0	7	108	163	0	11	10	0	11	64	44	11	10	0	0	0	82	1	0	68	31	0	14	126	8	0	25	207	52	2	14	16	3	10	9	0	143	140	2	4	28	23	37	1	5	7	6	0	0	29	4	1	35	44	8	9	15	19	31	1	1	6	1	26	18	23	0	1	38	45	1	3	26	15	36	0	12	8	8
Taxon16	2	2	5	0	3	4	6	24	31	0	15	40	82	0	0	4	0	0	3	8	7	10	83	9	0	1	37	24	7	2	29	25	0	0	2	12	0	2	135	0	56	1	1	1	0	0	0	9	38	4	15	14	0	20	0	5	166	8	6	1	0	8	11	25	18	0	0	3	0	15	132	0	0	14	28	0	6	25	1	0	24	19	2	8	0	0	0	7	0	1	18	6	0	0	18	0	0	2	0	2	9	15	9	6	22	8	0	1	122	0	1	4	1	4	0	0	4	1	0	1	27	7	1	15	16	2	4	3	12	17	2	5	12	1	25	24	0	1	0	4	9	0	0	41	23	35	1	0	0	1
Taxon17	67	308	48	5	28	30	13	73	371	0	98	178	471	151	0	42	4	208	330	299	296	54	349	26	146	249	489	297	60	50	241	284	0	1	104	216	1	100	835	2	533	183	410	2	2	27	37	2199	279	155	50	43	121	110	14	7	660	130	112	116	5	215	175	722	383	0	27	232	5	79	707	3	24	1504	1192	0	96	158	12	106	1139	416	117	256	0	1	11	557	8	15	390	189	4	89	929	68	0	169	1548	304	32	112	146	105	202	131	0	763	943	13	28	199	133	545	47	97	115	66	9	1	188	46	24	222	338	91	75	149	143	262	12	2	23	13	274	212	86	0	0	415	642	8	15	396	242	280	2	208	151	123
Taxon18	97	373	91	2	10	11	1	3	29	0	5	127	422	26	0	14	2	69	171	104	94	30	422	24	25	20	532	345	200	86	185	165	0	2	12	49	0	353	460	0	220	279	516	1	0	9	28	874	315	64	37	42	49	61	4	6	414	53	34	50	3	149	124	245	171	0	6	331	3	47	294	1	0	448	667	0	94	75	3	33	48	28	61	117	0	0	5	457	4	5	138	44	1	11	738	32	0	25	219	550	20	55	97	58	236	114	0	160	414	8	15	171	94	255	1	3	101	27	11	0	38	7	3	32	46	127	120	149	69	155	1	11	54	1	241	210	34	0	0	274	514	2	4	540	224	116	1	12	10	7
Taxon19	10	49	8	0	1	0	1	1	2	0	3	17	32	3	0	2	0	2	16	18	9	2	46	5	3	2	41	23	10	3	10	14	0	0	0	11	0	46	52	0	41	27	37	0	0	0	0	69	26	3	4	8	2	9	0	1	56	4	1	9	0	8	10	37	15	0	2	31	2	6	56	2	0	31	105	0	13	5	1	2	3	2	4	8	0	0	0	61	0	0	20	10	0	0	113	5	0	4	28	99	0	5	4	6	11	7	0	20	57	1	2	21	9	27	0	0	5	1	0	0	4	0	0	7	10	8	12	9	12	25	1	1	8	0	22	14	8	0	0	25	37	0	0	52	8	14	0	1	1	1
